Order Date,Order Supplier,Order Quantity,Product Name,Product Variant,Product Brand,Product Model,Product Size,Product Price,Product Quantity,Product Hyperlink
,Full Source,14,Work Gloves,FlexTherm Latex Coated,MCR Safety,,Large,5.79,2,https://www.fullsource.com/mcr-safety-9690s/
,Amazon,1,Disinfecting Wipes,,Clorox,,75 count,13.98,2,https://a.co/d/2AmcDLw
,Amazon,1,Hand Sanitizer,,Purell,Naturals,6.5 ounces,25.99,4,https://a.co/d/ghkkP6F
,Amazon,1,Hand Sanitizer,,GermX,Original,8 ounces,9.52,1,https://a.co/d/7CcAERf
,MSA Safety,3,Hard Hat,,MSA,,Medium,33.97,1,https://us.msasafety.com/Head-Protection/Hard-Hats/V-Gard%C2%AE-GREEN-Hard-Hat-Cap-Style/p/000060003400001000
,Amazon,1,First Aid Kit,Waterproof,ThriAid,,330 pieces,45.99,1,https://a.co/d/5nPaDAh
,Amazon,2,Hammer,Brick Hammer,Glorousamc,,30 ounces,17.82,1,https://a.co/d/1z0HujI
,Harbor Freight,1,Hammer,Fiberglass,Pittsburgh,,16 ounces,6.99,1,https://www.harborfreight.com/16-oz-rip-hammer-with-fiberglass-handle-47873.html?gStoreCode=2970&gQT=1
,Amazon,1,Tape Measure,,DeWalt,Tough Series,25 feet,22.25,1,https://a.co/d/eg1Mc6K
,Amazon,2,Tape Measure,Fiberglass,DeWalt,,300 feet,29.99,1,https://a.co/d/fJDywZf
,Amazon,3,Tape Measure,Fiberglass,DeWalt,,100 feet,18.99,1,https://a.co/d/gtWNIlZ
,Bosch,1,Laser Range Finder,Rechargable,Bosch,GLM80,265 feet,,1,https://www.bosch-professional.com/gb/en/archive/glm-80-26171-p/
,Amazon,2,Laser Range Finder,Battery Powered,Dtape,DT50,165 feet,21.99,1,https://a.co/d/76DIFfH
,Amazon,1,Laser Range Finder,Rechargable,Huepar,,330 feet,45.99,1,https://a.co/d/cRhGKIF
,Amazon,1,Measuring Wheel,Collapsible,Zozen,,9999 feet,39.99,1,https://a.co/d/6a9POgC
,Amazon,1,Tape Measure,,Zozen,,16 feet,0,1,https://a.co/d/6a9POgC
,,1,Range Pole,Aluminum,,,4 feet,,1,
,Amazon,1,Leveling Rod,Telescopic,AdirPro,,16 feet,44.99,1,https://a.co/d/fn9m9IT
,Lowe's,1,Caliper,Digital,Johnson,,,36.98,1,https://www.lowes.com/pd/Johnson-Level-Calipers-6-in-Digital/5013301939?store=444&cm_mmc=shp-_-c-_-prd-_-tol-_-ggl-_-PMAX_TOL_000_Priority_Item-_-5013301939-_-local-_-0-_-0&gad_source=1&gad_campaignid=21218097027&gbraid=0AAAAAD2B2W9Ei-lfMihCBBP7SuGJHxqrw&gclid=Cj0KCQjw5ubABhDIARIsAHMighZPYwdDO7IuEXEL0piZwKA5l8PSqig08g1ahHWz_iqRup80zves2gAaAiCFEALw_wcB&gclsrc=aw.ds
,Amazon,3,Caliper,Analog,Spurtar,,,17.87,1,https://a.co/d/fc0nRHP
,Amazon,1,Angle Locator,Magnetic Analog,Johnson,,,12.85,1,https://a.co/d/2azkDW9
,Amazon,2,Angle Locator,Magnetic Digital,Stead&Fast,,,25.99,1,https://a.co/d/4TCUU5Z
,Amazon,2,Level,Magnetic,Workpro,,1 foot,9.99,1,https://a.co/d/fIQihym
,Amazon,2,Level,,Johnson,,4 feet,39.99,1,https://a.co/d/hudJOni
,Phase II,1,D-Meter,,Phase II,UTG2800,,,1,https://www.phase2plus.com/product/ultrasonicthicknessgauges-utg-2800/
,,1,Crack Card,,Devonian,,,,4,
,,1,Crack Card,,GPI,,,,1,
,Amazon,5,Brush,Wire,Hyde,MaxxGrip Pro,,7.55,1,https://a.co/d/dotmeac
