Order Date,Order Supplier,Order Quantity,Product Name,Product Variant,Product Brand,Product Model,Product Size,Product Price,Product Quantity,Product Hyperlink
2/6/2025,Amazon,1,Ear Plugs,Super Soft Foam,Lenicany,,32 decibels,4.99,30,https://a.co/d/7nNNKcH
2/6/2025,Amazon,1,Repair Patch,Nylon Waterproof Self-Adhesive,Willbond,,,7.99,8,https://a.co/d/cIvznfQ
2/6/2025,Amazon,1,Repair Adhesive,,Gear Aid,,3/4 ounce,8.99,1,https://a.co/d/370aIjM
2/6/2025,Amazon,1,Hand Warmer,Air-Activated,HotHands,,,14.97,20,https://a.co/d/9JHQs1c
2/6/2025,Amazon,2,Work Gloves,Insulated,Loccef,,Medium,19.9,2,https://a.co/d/0ZvlzW9
2/6/2025,Amazon,2,Work Gloves,Insulated,Loccef,,Large,19.9,2,https://a.co/d/4kWkT32
2/6/2025,Amazon,2,Work Gloves,Insulated,Loccef,,Extra Large,19.9,2,https://a.co/d/fyra2aS
2/6/2025,Amazon,1,Knee Pads,Lightweight Sleeves,Klein Tools,,Large\Extra Large,19.96,2,https://a.co/d/6D5bXP8
2/6/2025,Lowes,1,Knee Pads,Hard Shell,Kobalt,,,13.98,2,https://www.lowes.com/pd/Kobalt-Hard-Shell-Knee-Pads/5015724013?store=&cm_mmc=shp-_-c-_-prd-_-tol-_-ggl-_-PMAX_TOL_000_Priority_Item-_-5015724013-_-online-_-0-_-0&gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac_V1HYejlAi2NvE04oqk6ag0_jazrpjn7U0w1_JuIZFp8lqe2AJ_dwaAnIfEALw_wcB&gclsrc=aw.ds
2/6/2025,Amazon,3,Tape Measure,Self Lock,Komelon,,25 feet,12.99,1,https://a.co/d/hdlvzJi
2/6/2025,Amazon,6,Stick Ruler,Brass Wood,Lufkin,,6 feet,16.97,1,https://a.co/d/5f7gyB5
2/6/2025,Amazon,2,Weld Gauge,Stainless Steel,Riverweld,,1/4 inch,9.39,1,https://a.co/d/gSkBOAC
2/6/2025,Amazon,1,Duct Tape,,Duck,,60 yards,7.16,2,https://a.co/d/bcPiJth
2/6/2025,Amazon,3,Clipboard,Metal Clamshell,Saunders,,,23.74,1,https://a.co/d/6PIsDwB
2/6/2025,,1,Clipboard,Slim,,,,,1,
2/6/2025,Dell,1,Laptop,,Dell,Latitude 7350,,1689,1,https://www.dell.com/en-us/shop/dell-laptops/latitude-7350-detachable/spd/latitude-13-7350-detachable-laptop
2/6/2025,Phase II,1,D-Meter,Probe,Phase II,UTG2800-400,,163.75,1,
2/6/2025,Amazon,3,Protective Particulate Respirator,KN95,CandyCare,,,10.95,20,https://a.co/d/8hsKqwP
2/6/2025,Walmart,3,Caliper,Outside Digital Gage,Fowler,,,83.17,1,https://www.walmart.com/ip/Fowler-74-554-630-6-Outside-Digital-Caliper/16494233?classType=REGULAR
2/6/2025,Amazon,2,Hammer,Brick Hammer,Glorousamc,,30 ounces,17.82,1,https://a.co/d/1z0HujI
2/6/2025,Amazon,1,USB SD Card Reader,SD-Micro SD,Acer,,,9.98,1,https://a.co/d/6yLBX33
4/22/2025,Amazon,1,Laptop,,Dell,Latitude 7410,,750,1,https://a.co/d/fnbhzKN
4/28/2025,Amazon,2,Camera Battery,Rechargable,OM System,LI-92B,,42.99,1,https://a.co/d/fq9Igyd
6/9/2025,Amazon,2,Tape Measure,,DeWalt,Tough Series,25 feet,21.99,1,https://a.co/d/eg1Mc6K
6/9/2025,Amazon,2,Tape Measure,Open Fastback,Komelon,,100 feet,24.16,1,https://a.co/d/8osEeFz
6/9/2025,Amazon,1,Steel Ball Weight,,Bullet Weights,,30 ounces,28.16,3,https://a.co/d/e2Ndy5L
6/9/2025,Amazon,1,Hand Sanitizer,,Purell,Naturals,12 ounces,25.99,4,https://a.co/d/ghkkP6F
6/9/2025,Amazon,3,Sunscreen,SPF 50 Spray,Banana Boat,Sport,8 ounces,7.29,1,https://a.co/d/eCTei2p
6/9/2025,Amazon,1,Battery,AAA,Energizer,,,17.99,32,https://a.co/d/1vgTvAS
6/9/2025,Amazon,1,Flashlight,Aluminum Pen,Workpro,,,8.99,4,https://a.co/d/c7i08jV
6/9/2025,Amazon,1,Tool Belt,3 Pockets,CLC Work Gear,,,19.99,1,https://a.co/d/1IgA0R4
6/9/2025,Amazon,1,Stick Ruler,Brass Wood,Lufkin,,6 feet,12.73,1,https://a.co/d/2V0eKYk
6/9/2025,Amazon,1,Stick Ruler,Extension,Wiha,MaxiFlex,6 feet,26.08,1,https://a.co/d/czb4zua
6/9/2025,Amazon,2,Stick Ruler,Plastic,TPMT Co,,6-1/2 feet,13.99,1,https://a.co/d/0eKRjOW
7/30/2025,Amazon,1,Ratchet Straps,Commercial,SmartStraps,,14 feet,20.47,2,https://a.co/d/7s59aoO
7/30/2025,Amazon,1,Computer Case,,Targus,Dell Latitude 7320 Detachable,,45.99,1,https://a.co/d/aCC7HXz
7/30/2025,Amazon,1,Camera Pole Adapter,Joint Angle,Bruislard,,,8.73,2,https://a.co/d/a1rl6oY
7/30/2025,Amazon,2,Hammer,Brick Hammer,Estwing,,22 ounces,33.5,1,https://a.co/d/6xnw1tG
7/30/2025,Amazon,1,USB Adapter,USB-C to USB-A,Elebase,,,9.99,4,https://a.co/d/bQW7EzI
8/18/2025,Amazon,2,Caliper,Analog,Spurtar,,,16.99,2,https://a.co/d/cXHvute
8/18/2025,Lowe's,1,Tape Measure,Fiberglass,Kobalt,,300 feet,32.98,1,https://www.lowes.com/pd/Kobalt-300-ft-Long-Tape/4667543
8/18/2025,Amazon,3,Lumber Crayons,Hex,Dixon,,4-1/2 inches x 1/2 inch,13.5,12,https://a.co/d/2DLY327
8/18/2025,Amazon,3,Stick Ruler,Fiberglass,Klein Tools,,6 feet,22.94,1,https://a.co/d/bhVOOWc
8/18/2025,Home Depot,1,Machete,,Fiskars,,15 inches,34.98,1,https://www.homedepot.com/p/Fiskars-15-in-Steel-Blade-Clearing-Machete-Knife-with-Sheath-for-Brush-Cutting-Gardening-Landscaping-Bushcraft-385091-1009/206398488
8/24/2025,Amazon,1,Camera,Waterproof Shockproof,Olympus,TG-7,,499.99,1,https://a.co/d/54ccwyN
8/24/2025,Amazon,1,SD Card,,SanDisk,Ultra,128 gb,16.99,1,https://a.co/d/3PKFoEr
8/24/2025,Ebay,1,Camera,Waterproof Shockproof,Olympus,TG-6,,,1,https://www.ebay.com/sch/i.html?_nkw=olympus+tg-6&_sacat=0&_from=R40&_trksid=p2322090.m570.l1313
8/24/2025,Amazon,1,Camera Pole,Extension,DocaZoo,,30 feet,109.99,1,https://a.co/d/7bJ7yJD
8/24/2025,Amazon,1,Camera Pole Adapter,Straight,DocaZoo,,,0,1,https://a.co/d/7bJ7yJD
8/24/2025,Lowe's,1,Ladder,Extension,Werner,,24 feet,299,1,https://www.lowes.com/pd/Werner-D1200-Aluminum-24-ft-Type-2-225-lbs-Extension-Ladder/1115317?store=1878&cm_mmc=shp-_-c-_-prd-_-bdm-_-ggl-_-CRP_SHP_LIA_BDM_Online_C-D-_-1115317-_-local-_-0-_-0&gad_source=1&gclid=CjwKCAjw47i_BhBTEiwAaJfPpi5wX17JbaaHb-J7d9fFtnbOk-V1NadNiTjMvIXu0f1r3nLxgxU-iRoC6YMQAvD_BwE&gclsrc=aw.ds
8/24/2025,Amazon,1,Battery,CR2032,Energizer,,,11.99,10,https://a.co/d/gXiDkFi
9/16/2025,Amazon,1,Camera Screen Protector,Tempered Glass,iDaPro,,,7.99,2,https://a.co/d/iCgvZNf
10/1/2025,,1,Skin Cleanser,Poison Ivy & Oak Oils,tecnu,,12 ounces,14.39,1,https://a.co/d/1JfALDl
10/1/2025,,1,Bug Spray,Deep Woods,OFF!,Sportsmen,6 ounces,1,,
